The 11 of C is...	<h1>F</h1>	tags
The 13 of C is...	<h1>A</h1>	tags
The b13 of C is...	<h1>Ab</h1>	tags
The 9 of C is...	<h1>D</h1>	tags
The #11 of C is...	<h1>F#</h1>	tags
The b9 of C is...	<h1>Db</h1>	tags
The 11 of C# is...	<h1>F#</h1>	tags
The 13 of C# is...	<h1>A#</h1>	tags
The b13 of C# is...	<h1>A</h1>	tags
The 9 of C# is...	<h1>D#</h1>	tags
The #11 of C# is...	<h1>F##</h1>	tags
The b9 of C# is...	<h1>D</h1>	tags
The 11 of D is...	<h1>G</h1>	tags
The 13 of D is...	<h1>B</h1>	tags
The b13 of D is...	<h1>Bb</h1>	tags
The 9 of D is...	<h1>E</h1>	tags
The #11 of D is...	<h1>G#</h1>	tags
The b9 of D is...	<h1>Eb</h1>	tags
The 11 of Db is...	<h1>Gb</h1>	tags
The 13 of Db is...	<h1>Bb</h1>	tags
The b13 of Db is...	<h1>Bbb</h1>	tags
The 9 of Db is...	<h1>Eb</h1>	tags
The #11 of Db is...	<h1>G</h1>	tags
The b9 of Db is...	<h1>Ebb</h1>	tags
The 11 of D# is...	<h1>G#</h1>	tags
The 13 of D# is...	<h1>B#</h1>	tags
The b13 of D# is...	<h1>B</h1>	tags
The 9 of D# is...	<h1>E#</h1>	tags
The #11 of D# is...	<h1>G##</h1>	tags
The b9 of D# is...	<h1>E</h1>	tags
The 11 of E is...	<h1>A</h1>	tags
The 13 of E is...	<h1>C#</h1>	tags
The b13 of E is...	<h1>C</h1>	tags
The 9 of E is...	<h1>F#</h1>	tags
The #11 of E is...	<h1>A#</h1>	tags
The b9 of E is...	<h1>F</h1>	tags
The 11 of Eb is...	<h1>Ab</h1>	tags
The 13 of Eb is...	<h1>C</h1>	tags
The b13 of Eb is...	<h1>Cb</h1>	tags
The 9 of Eb is...	<h1>F</h1>	tags
The #11 of Eb is...	<h1>A</h1>	tags
The b9 of Eb is...	<h1>Fb</h1>	tags
The 11 of F is...	<h1>Bb</h1>	tags
The 13 of F is...	<h1>D</h1>	tags
The b13 of F is...	<h1>Db</h1>	tags
The 9 of F is...	<h1>G</h1>	tags
The #11 of F is...	<h1>B</h1>	tags
The b9 of F is...	<h1>Gb</h1>	tags
The 11 of F# is...	<h1>B</h1>	tags
The 13 of F# is...	<h1>D#</h1>	tags
The b13 of F# is...	<h1>D</h1>	tags
The 9 of F# is...	<h1>G#</h1>	tags
The #11 of F# is...	<h1>B#</h1>	tags
The b9 of F# is...	<h1>G</h1>	tags
The 11 of G is...	<h1>C</h1>	tags
The 13 of G is...	<h1>E</h1>	tags
The b13 of G is...	<h1>Eb</h1>	tags
The 9 of G is...	<h1>A</h1>	tags
The #11 of G is...	<h1>C#</h1>	tags
The b9 of G is...	<h1>Ab</h1>	tags
The 11 of Gb is...	<h1>Cb</h1>	tags
The 13 of Gb is...	<h1>Eb</h1>	tags
The b13 of Gb is...	<h1>Ebb</h1>	tags
The 9 of Gb is...	<h1>Ab</h1>	tags
The #11 of Gb is...	<h1>C</h1>	tags
The b9 of Gb is...	<h1>Abb</h1>	tags
The 11 of G# is...	<h1>C#</h1>	tags
The 13 of G# is...	<h1>E#</h1>	tags
The b13 of G# is...	<h1>E</h1>	tags
The 9 of G# is...	<h1>A#</h1>	tags
The #11 of G# is...	<h1>C##</h1>	tags
The b9 of G# is...	<h1>A</h1>	tags
The 11 of A is...	<h1>D</h1>	tags
The 13 of A is...	<h1>F#</h1>	tags
The b13 of A is...	<h1>F</h1>	tags
The 9 of A is...	<h1>B</h1>	tags
The #11 of A is...	<h1>D#</h1>	tags
The b9 of A is...	<h1>Bb</h1>	tags
The 11 of Ab is...	<h1>Db</h1>	tags
The 13 of Ab is...	<h1>F</h1>	tags
The b13 of Ab is...	<h1>Fb</h1>	tags
The 9 of Ab is...	<h1>Bb</h1>	tags
The #11 of Ab is...	<h1>D</h1>	tags
The b9 of Ab is...	<h1>Bbb</h1>	tags
The 11 of A# is...	<h1>D#</h1>	tags
The 13 of A# is...	<h1>F##</h1>	tags
The b13 of A# is...	<h1>F#</h1>	tags
The 9 of A# is...	<h1>B#</h1>	tags
The #11 of A# is...	<h1>D##</h1>	tags
The b9 of A# is...	<h1>B</h1>	tags
The 11 of B is...	<h1>E</h1>	tags
The 13 of B is...	<h1>G#</h1>	tags
The b13 of B is...	<h1>G</h1>	tags
The 9 of B is...	<h1>C#</h1>	tags
The #11 of B is...	<h1>E#</h1>	tags
The b9 of B is...	<h1>C</h1>	tags
The 11 of Bb is...	<h1>Eb</h1>	tags
The 13 of Bb is...	<h1>G</h1>	tags
The b13 of Bb is...	<h1>Gb</h1>	tags
The 9 of Bb is...	<h1>C</h1>	tags
The #11 of Bb is...	<h1>E</h1>	tags
The b9 of Bb is...	<h1>Cb</h1>	tags
