The melodic minor scale of C is...	C D Eb F G A B C
The major scale of C is...	C D E F G A B C
The harmonic minor scale of C is...	C D Eb F G Ab B C
The mixolydian scale of C is...	C D E F G A Bb C
The dorian scale of C is...	C D Eb F G A Bb C
The lydian scale of C is...	C D E F# G A B C
The major pentatonic scale of C is...	C D E G A C
The phrygian scale of C is...	C Db Eb F G Ab Bb C
The natural minor scale of C is...	C D Eb F G Ab Bb C
The minor pentatonic scale of C is...	C Eb F G Bb C
The locrian scale of C is...	C Db Eb F Gb Ab Bb C
The melodic minor scale of C# is...	C# D# E F# G# A# B# C#
The major scale of C# is...	C# D# E# F# G# A# B# C#
The harmonic minor scale of C# is...	C# D# E F# G# A B# C#
The mixolydian scale of C# is...	C# D# E# F# G# A# B C#
The dorian scale of C# is...	C# D# E F# G# A# B C#
The lydian scale of C# is...	C# D# E# F## G# A# B# C#
The major pentatonic scale of C# is...	C# D# E# G# A# C#
The phrygian scale of C# is...	C# D E F# G# A B C#
The natural minor scale of C# is...	C# D# E F# G# A B C#
The minor pentatonic scale of C# is...	C# E F# G# B C#
The locrian scale of C# is...	C# D E F# G A B C#
The melodic minor scale of D is...	D E F G A B C# D
The major scale of D is...	D E F# G A B C# D
The harmonic minor scale of D is...	D E F G A Bb C# D
The mixolydian scale of D is...	D E F# G A B C D
The dorian scale of D is...	D E F G A B C D
The lydian scale of D is...	D E F# G# A B C# D
The major pentatonic scale of D is...	D E F# A B D
The phrygian scale of D is...	D Eb F G A Bb C D
The natural minor scale of D is...	D E F G A Bb C D
The minor pentatonic scale of D is...	D F G A C D
The locrian scale of D is...	D Eb F G Ab Bb C D
The melodic minor scale of Db is...	Db Eb Fb Gb Ab Bb C Db
The major scale of Db is...	Db Eb F Gb Ab Bb C Db
The harmonic minor scale of Db is...	Db Eb Fb Gb Ab Bbb C Db
The mixolydian scale of Db is...	Db Eb F Gb Ab Bb Cb Db
The dorian scale of Db is...	Db Eb Fb Gb Ab Bb Cb Db
The lydian scale of Db is...	Db Eb F G Ab Bb C Db
The major pentatonic scale of Db is...	Db Eb F Ab Bb Db
The phrygian scale of Db is...	Db Ebb Fb Gb Ab Bbb Cb Db
The natural minor scale of Db is...	Db Eb Fb Gb Ab Bbb Cb Db
The minor pentatonic scale of Db is...	Db Fb Gb Ab Cb Db
The locrian scale of Db is...	Db Ebb Fb Gb Abb Bbb Cb Db
The melodic minor scale of D# is...	D# E# F# G# A# B# C## D#
The major scale of D# is...	D# E# F## G# A# B# C## D#
The harmonic minor scale of D# is...	D# E# F# G# A# B C## D#
The mixolydian scale of D# is...	D# E# F## G# A# B# C# D#
The dorian scale of D# is...	D# E# F# G# A# B# C# D#
The lydian scale of D# is...	D# E# F## G## A# B# C## D#
The major pentatonic scale of D# is...	D# E# F## A# B# D#
The phrygian scale of D# is...	D# E F# G# A# B C# D#
The natural minor scale of D# is...	D# E# F# G# A# B C# D#
The minor pentatonic scale of D# is...	D# F# G# A# C# D#
The locrian scale of D# is...	D# E F# G# A B C# D#
The melodic minor scale of E is...	E F# G A B C# D# E
The major scale of E is...	E F# G# A B C# D# E
The harmonic minor scale of E is...	E F# G A B C D# E
The mixolydian scale of E is...	E F# G# A B C# D E
The dorian scale of E is...	E F# G A B C# D E
The lydian scale of E is...	E F# G# A# B C# D# E
The major pentatonic scale of E is...	E F# G# B C# E
The phrygian scale of E is...	E F G A B C D E
The natural minor scale of E is...	E F# G A B C D E
The minor pentatonic scale of E is...	E G A B D E
The locrian scale of E is...	E F G A Bb C D E
The melodic minor scale of Eb is...	Eb F Gb Ab Bb C D Eb
The major scale of Eb is...	Eb F G Ab Bb C D Eb
The harmonic minor scale of Eb is...	Eb F Gb Ab Bb Cb D Eb
The mixolydian scale of Eb is...	Eb F G Ab Bb C Db Eb
The dorian scale of Eb is...	Eb F Gb Ab Bb C Db Eb
The lydian scale of Eb is...	Eb F G A Bb C D Eb
The major pentatonic scale of Eb is...	Eb F G Bb C Eb
The phrygian scale of Eb is...	Eb Fb Gb Ab Bb Cb Db Eb
The natural minor scale of Eb is...	Eb F Gb Ab Bb Cb Db Eb
The minor pentatonic scale of Eb is...	Eb Gb Ab Bb Db Eb
The locrian scale of Eb is...	Eb Fb Gb Ab Bbb Cb Db Eb
The melodic minor scale of F is...	F G Ab Bb C D E F
The major scale of F is...	F G A Bb C D E F
The harmonic minor scale of F is...	F G Ab Bb C Db E F
The mixolydian scale of F is...	F G A Bb C D Eb F
The dorian scale of F is...	F G Ab Bb C D Eb F
The lydian scale of F is...	F G A B C D E F
The major pentatonic scale of F is...	F G A C D F
The phrygian scale of F is...	F Gb Ab Bb C Db Eb F
The natural minor scale of F is...	F G Ab Bb C Db Eb F
The minor pentatonic scale of F is...	F Ab Bb C Eb F
The locrian scale of F is...	F Gb Ab Bb Cb Db Eb F
The melodic minor scale of F# is...	F# G# A B C# D# E# F#
The major scale of F# is...	F# G# A# B C# D# E# F#
The harmonic minor scale of F# is...	F# G# A B C# D E# F#
The mixolydian scale of F# is...	F# G# A# B C# D# E F#
The dorian scale of F# is...	F# G# A B C# D# E F#
The lydian scale of F# is...	F# G# A# B# C# D# E# F#
The major pentatonic scale of F# is...	F# G# A# C# D# F#
The phrygian scale of F# is...	F# G A B C# D E F#
The natural minor scale of F# is...	F# G# A B C# D E F#
The minor pentatonic scale of F# is...	F# A B C# E F#
The locrian scale of F# is...	F# G A B C D E F#
The melodic minor scale of G is...	G A Bb C D E F# G
The major scale of G is...	G A B C D E F# G
The harmonic minor scale of G is...	G A Bb C D Eb F# G
The mixolydian scale of G is...	G A B C D E F G
The dorian scale of G is...	G A Bb C D E F G
The lydian scale of G is...	G A B C# D E F# G
The major pentatonic scale of G is...	G A B D E G
The phrygian scale of G is...	G Ab Bb C D Eb F G
The natural minor scale of G is...	G A Bb C D Eb F G
The minor pentatonic scale of G is...	G Bb C D F G
The locrian scale of G is...	G Ab Bb C Db Eb F G
The melodic minor scale of Gb is...	Gb Ab Bbb Cb Db Eb F Gb
The major scale of Gb is...	Gb Ab Bb Cb Db Eb F Gb
The harmonic minor scale of Gb is...	Gb Ab Bbb Cb Db Ebb F Gb
The mixolydian scale of Gb is...	Gb Ab Bb Cb Db Eb Fb Gb
The dorian scale of Gb is...	Gb Ab Bbb Cb Db Eb Fb Gb
The lydian scale of Gb is...	Gb Ab Bb C Db Eb F Gb
The major pentatonic scale of Gb is...	Gb Ab Bb Db Eb Gb
The phrygian scale of Gb is...	Gb Abb Bbb Cb Db Ebb Fb Gb
The natural minor scale of Gb is...	Gb Ab Bbb Cb Db Ebb Fb Gb
The minor pentatonic scale of Gb is...	Gb Bbb Cb Db Fb Gb
The locrian scale of Gb is...	Gb Abb Bbb Cb Dbb Ebb Fb Gb
The melodic minor scale of G# is...	G# A# B C# D# E# F## G#
The major scale of G# is...	G# A# B# C# D# E# F## G#
The harmonic minor scale of G# is...	G# A# B C# D# E F## G#
The mixolydian scale of G# is...	G# A# B# C# D# E# F# G#
The dorian scale of G# is...	G# A# B C# D# E# F# G#
The lydian scale of G# is...	G# A# B# C## D# E# F## G#
The major pentatonic scale of G# is...	G# A# B# D# E# G#
The phrygian scale of G# is...	G# A B C# D# E F# G#
The natural minor scale of G# is...	G# A# B C# D# E F# G#
The minor pentatonic scale of G# is...	G# B C# D# F# G#
The locrian scale of G# is...	G# A B C# D E F# G#
The melodic minor scale of A is...	A B C D E F# G# A
The major scale of A is...	A B C# D E F# G# A
The harmonic minor scale of A is...	A B C D E F G# A
The mixolydian scale of A is...	A B C# D E F# G A
The dorian scale of A is...	A B C D E F# G A
The lydian scale of A is...	A B C# D# E F# G# A
The major pentatonic scale of A is...	A B C# E F# A
The phrygian scale of A is...	A Bb C D E F G A
The natural minor scale of A is...	A B C D E F G A
The minor pentatonic scale of A is...	A C D E G A
The locrian scale of A is...	A Bb C D Eb F G A
The melodic minor scale of Ab is...	Ab Bb B Db Eb F G Ab
The major scale of Ab is...	Ab Bb C Db Eb F G Ab
The harmonic minor scale of Ab is...	Ab Bb B Db Eb Fb G Ab
The mixolydian scale of Ab is...	Ab Bb C Db Eb F Gb Ab
The dorian scale of Ab is...	Ab Bb B Db Eb F Gb Ab
The lydian scale of Ab is...	Ab Bb C D Eb F G Ab
The major pentatonic scale of Ab is...	Ab Bb C Eb F Ab
The phrygian scale of Ab is...	Ab Bbb B Db Eb Fb Gb Ab
The natural minor scale of Ab is...	Ab Bb B Db Eb Fb Gb Ab
The minor pentatonic scale of Ab is...	Ab B Db Eb Gb Ab
The locrian scale of Ab is...	Ab Bbb B Db Ebb Fb Gb Ab
The melodic minor scale of A# is...	A# B# C# D# E# F## G## A#
The major scale of A# is...	A# B# C## D# E# F## G## A#
The harmonic minor scale of A# is...	A# B# C# D# E# F# G## A#
The mixolydian scale of A# is...	A# B# C## D# E# F## G# A#
The dorian scale of A# is...	A# B# C# D# E# F## G# A#
The lydian scale of A# is...	A# B# C## D## E# F## G## A#
The major pentatonic scale of A# is...	A# B# C## E# F## A#
The phrygian scale of A# is...	A# B C# D# E# F# G# A#
The natural minor scale of A# is...	A# B# C# D# E# F# G# A#
The minor pentatonic scale of A# is...	A# C# D# E# G# A#
The locrian scale of A# is...	A# B C# D# E F# G# A#
The melodic minor scale of B is...	B C# D E F# G# A# B
The major scale of B is...	B C# D# E F# G# A# B
The harmonic minor scale of B is...	B C# D E F# G A# B
The mixolydian scale of B is...	B C# D# E F# G# A B
The dorian scale of B is...	B C# D E F# G# A B
The lydian scale of B is...	B C# D# E# F# G# A# B
The major pentatonic scale of B is...	B C# D# F# G# B
The phrygian scale of B is...	B C D E F# G A B
The natural minor scale of B is...	B C# D E F# G A B
The minor pentatonic scale of B is...	B D E F# A B
The locrian scale of B is...	B C D E F G A B
The melodic minor scale of Bb is...	Bb C Db Eb F G A Bb
The major scale of Bb is...	Bb C D Eb F G A Bb
The harmonic minor scale of Bb is...	Bb C Db Eb F Gb A Bb
The mixolydian scale of Bb is...	Bb C D Eb F G Ab Bb
The dorian scale of Bb is...	Bb C Db Eb F G Ab Bb
The lydian scale of Bb is...	Bb C D E F G A Bb
The major pentatonic scale of Bb is...	Bb C D F G Bb
The phrygian scale of Bb is...	Bb Cb Db Eb F Gb Ab Bb
The natural minor scale of Bb is...	Bb C Db Eb F Gb Ab Bb
The minor pentatonic scale of Bb is...	Bb Db Eb F Ab Bb
The locrian scale of Bb is...	Bb Cb Db Eb Fb Gb Ab Bb
